2025-09-19 at 16:01:29 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-19 at 16:01:29 | INFO | Найдено 0 записей.
2025-09-19 at 16:01:36 | INFO | Поиск всех записей Category по фильтрам: {}
2025-09-19 at 16:01:36 | INFO | Найдено 3 записей.
2025-09-19 at 16:02:43 | ERROR | Бот остановлен!
2025-09-19 at 16:02:51 | INFO | Бот успешно запущен.
2025-09-19 at 16:02:54 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 16:02:54 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 16:02:56 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-19 at 16:02:56 | INFO | Найдено 0 записей.
2025-09-19 at 16:03:04 | INFO | Поиск всех записей Category по фильтрам: {}
2025-09-19 at 16:03:04 | INFO | Найдено 3 записей.
2025-09-19 at 16:03:25 | INFO | Поиск Category с ID: 1
2025-09-19 at 16:03:25 | INFO | Запись с ID 1 найдена.
2025-09-19 at 16:03:32 | INFO | Добавление записи Product с параметрами: {'name': 'Товар', 'description': 'Описание', 'price': 300, 'category_id': 1, 'file_id': None, 'hidden_content': 'Контент'}
2025-09-19 at 16:03:32 | INFO | Запись Product успешно добавлена.
2025-09-19 at 16:03:38 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-19 at 16:03:38 | INFO | Найдено 1 записей.
2025-09-19 at 16:03:41 | INFO | Поиск всех записей Product по фильтрам: {}
2025-09-19 at 16:03:41 | INFO | Найдено 1 записей.
2025-09-19 at 16:05:26 | ERROR | Бот остановлен!
2025-09-19 at 16:05:34 | INFO | Бот успешно запущен.
2025-09-19 at 16:05:37 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 16:05:37 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 16:05:40 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-19 at 16:05:40 | INFO | Найдено 1 записей.
2025-09-19 at 16:09:32 | ERROR | Бот остановлен!
2025-09-19 at 16:09:38 | INFO | Бот успешно запущен.
2025-09-19 at 16:09:42 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
